Kundennummer;12345678;;
Kundenname;Mustermann Max;;
ZP-Nummer;AT0070000XXXX10000000000000XXXXXX;;
Beginn;27.03.2024;;
Ende;01.05.2024;;
Energierichtung;Verbrauch gemessen;;
;;;
;;;
Datum;Zeit;kWh;Status
28.03.2024;03:15:00;0,337;Der Wert ist gültig
28.03.2024;03:30:00;0,38;Der Wert ist gültig
28.03.2024;03:45:00;0,393;Der Wert ist gültig
28.03.2024;04:00:00;0,432;Der Wert ist gültig
28.03.2024;04:15:00;0,107;Der Wert ist gültig
28.03.2024;04:30:00;0,079;Der Wert ist gültig
28.03.2024;04:45:00;0,197;Der Wert ist gültig
28.03.2024;05:00:00;0,18;Der Wert ist gültig
28.03.2024;05:15:00;0,175;Der Wert ist gültig
28.03.2024;05:30:00;0,17;Der Wert ist gültig
28.03.2024;05:45:00;0,168;Der Wert ist gültig
28.03.2024;06:00:00;0,175;Der Wert ist gültig
28.03.2024;06:15:00;0,206;Der Wert ist gültig
28.03.2024;06:30:00;0,189;Der Wert ist gültig
28.03.2024;06:45:00;0,159;Der Wert ist gültig
28.03.2024;07:00:00;0,162;Der Wert ist gültig
28.03.2024;07:15:00;0,171;Der Wert ist gültig
28.03.2024;07:30:00;0,173;Der Wert ist gültig
28.03.2024;07:45:00;0,309;Der Wert ist gültig
28.03.2024;08:00:00;0,161;Der Wert ist gültig
28.03.2024;08:15:00;0,165;Der Wert ist gültig
28.03.2024;08:30:00;0,255;Der Wert ist gültig
28.03.2024;08:45:00;0,169;Der Wert ist gültig
28.03.2024;09:00:00;0,168;Der Wert ist gültig
28.03.2024;09:15:00;0,149;Der Wert ist gültig
28.03.2024;09:30:00;0,135;Der Wert ist gültig
28.03.2024;09:45:00;0,144;Der Wert ist gültig
28.03.2024;10:00:00;0,216;Der Wert ist gültig
28.03.2024;10:15:00;0,189;Der Wert ist gültig
28.03.2024;10:30:00;0,181;Der Wert ist gültig
28.03.2024;10:45:00;0,386;Der Wert ist gültig
